Pais,Tipo GINI,Ciudad,Ano,GINI
Chile,Urbano,Concepci—n (çrea Metropolitana),2009,0.469
Chile,Urbano,Constituci—n,1990,--
Chile,Urbano,Constituci—n,1994,0.402
Chile,Urbano,Constituci—n,2000,0.412
Chile,Urbano,Constituci—n,2003,0.345
Chile,Urbano,Constituci—n,2006,--
Chile,Urbano,Constituci—n,2009,0.468
Chile,Urbano,Copiap—,1990,0.51
Chile,Urbano,Copiap—,1994,0.448
Chile,Urbano,Copiap—,2000,0.476
Chile,Urbano,Copiap—,2003,0.433
Chile,Urbano,Copiap—,2006,0.438
Chile,Urbano,Copiap—,2009,0.412
Chile,Urbano,Coronel,1990,0.374
Chile,Urbano,Coronel,1994,0.455
Chile,Urbano,Coronel,2000,0.428
Chile,Urbano,Coronel,2003,0.419
Chile,Urbano,Coronel,2006,0.404
Chile,Urbano,Coronel,2009,0.425
Chile,Urbano,Curanilahue,1990,0.46
Chile,Urbano,Curanilahue,1994,0.447
Chile,Urbano,Curanilahue,2000,0.407
Chile,Urbano,Curanilahue,2003,0.401
Chile,Urbano,Curanilahue,2006,--
Chile,Urbano,Curanilahue,2009,0.341
Chile,Urbano,Curic—,1990,0.678
Chile,Urbano,Curic—,1994,0.703
Chile,Urbano,Curic—,2000,0.647
Chile,Urbano,Curic—,2003,0.496
Chile,Urbano,Curic—,2006,0.441
Chile,Urbano,Curic—,2009,0.548
Chile,Urbano,El Monte,1990,0.475
Chile,Urbano,El Monte,1994,0.414
Chile,Urbano,El Monte,2000,0.425
Chile,Urbano,El Monte,2003,0.478
Chile,Urbano,El Monte,2006,0.388
Chile,Urbano,El Monte,2009,0.426
Chile,Urbano,Graneros,1990,--
Chile,Urbano,Graneros,1994,--
Chile,Urbano,Graneros,2000,0.417
Chile,Urbano,Graneros,2003,0.426
Chile,Urbano,Graneros,2006,0.391
Chile,Urbano,Graneros,2009,0.36
Chile,Urbano,Illapel,1990,0.362
Chile,Urbano,Illapel,1994,0.48
Chile,Urbano,Illapel,2000,0.389
Chile,Urbano,Illapel,2003,0.405
Chile,Urbano,Illapel,2006,0.392
Chile,Urbano,Illapel,2009,0.359
Chile,Urbano,Iquique,1990,0.561
Chile,Urbano,Iquique,1994,0.458
Chile,Urbano,Iquique,2000,0.47
Chile,Urbano,Iquique,2003,0.461
Chile,Urbano,Iquique,2006,0.429
Chile,Urbano,Iquique,2009,0.423
Chile,Urbano,La Calera,1990,0.593
Chile,Urbano,La Calera,1994,0.421
Chile,Urbano,La Calera,2000,0.453
Chile,Urbano,La Calera,2003,0.411
Chile,Urbano,La Calera,2006,0.454
Chile,Urbano,La Calera,2009,0.389
Chile,Urbano,La Ligua,1990,--
Chile,Urbano,La Ligua,1994,0.486
Chile,Urbano,La Ligua,2000,0.498
Chile,Urbano,La Ligua,2003,0.454
Chile,Urbano,La Ligua,2006,0.477
Chile,Urbano,La Ligua,2009,0.354
Chile,Urbano,Lampa,1990,0.418
Chile,Urbano,Lampa,1994,0.415
Chile,Urbano,Lampa,2000,0.401
Chile,Urbano,Lampa,2003,0.407
Chile,Urbano,Lampa,2006,0.523
Chile,Urbano,Lampa,2009,0.39
Chile,Urbano,La Uni—n,1990,0.58775
Chile,Urbano,La Uni—n,1994,0.51423
Chile,Urbano,La Uni—n,2000,0.55333
Chile,Urbano,La Uni—n,2003,0.46527
Chile,Urbano,La Uni—n,2006,0.42125
Chile,Urbano,La Uni—n,2009,0.439
Chile,Urbano,Lautaro,1990,--
Chile,Urbano,Lautaro,1994,--
Chile,Urbano,Lautaro,2000,0.557
Chile,Urbano,Lautaro,2003,0.453
Chile,Urbano,Lautaro,2006,0.532
Chile,Urbano,Lautaro,2009,0.406
Chile,Urbano,La Serena (çrea Metropolitana),1990,0.546
Chile,Urbano,La Serena (çrea Metropolitana),1994,0.508
Chile,Urbano,La Serena (çrea Metropolitana),2000,0.531
Chile,Urbano,La Serena (çrea Metropolitana),2003,0.607
Chile,Urbano,La Serena (çrea Metropolitana),2006,0.448
Chile,Urbano,La Serena (çrea Metropolitana),2009,0.472
Chile,Urbano,Lebu,1990,0.4
Chile,Urbano,Lebu,1994,0.439
Chile,Urbano,Lebu,2000,0.473
Chile,Urbano,Lebu,2003,0.477
Chile,Urbano,Lebu,2006,0.455
Chile,Urbano,Lebu,2009,0.344
Chile,Urbano,Linares,1990,0.519
Chile,Urbano,Linares,1994,0.521
Chile,Urbano,Linares,2000,0.53
Chile,Urbano,Linares,2003,0.501
Chile,Urbano,Linares,2006,0.499
Chile,Urbano,Linares,2009,0.423
Chile,Urbano,Los Andes,1990,0.46499
Chile,Urbano,Los Andes,1994,0.459
Chile,Urbano,Los Andes,2000,0.516
Chile,Urbano,Los Andes,2003,0.517
Chile,Urbano,Los Andes,2006,--
Chile,Urbano,Los Andes,2009,0.421
Chile,Urbano,Los Angeles,1990,0.514
Chile,Urbano,Los Angeles,1994,0.518
Chile,Urbano,Los Angeles,2000,--
Chile,Urbano,Los Angeles,2003,0.477
Chile,Urbano,Los Angeles,2006,0.426
Chile,Urbano,Los Angeles,2009,0.495
Chile,Urbano,Los Vilos,1990,0.412
Chile,Urbano,Los Vilos,1994,0.481
Chile,Urbano,Los Vilos,2000,0.544
Chile,Urbano,Los Vilos,2003,0.432
Chile,Urbano,Los Vilos,2006,0.336
Chile,Urbano,Los Vilos,2009,0.407
Chile,Urbano,Lota,1990,0.396
Chile,Urbano,Lota,1994,0.373
Chile,Urbano,Lota,2000,0.364
Chile,Urbano,Lota,2003,0.383
Chile,Urbano,Lota,2006,--
Chile,Urbano,Lota,2009,0.379
Chile,Urbano,Machal’,1990,--
Chile,Urbano,Machal’,1994,--
Chile,Urbano,Machal’,2000,0.446
Chile,Urbano,Machal’,2003,0.441
Chile,Urbano,Machal’,2006,0.386
Chile,Urbano,Machal’,2009,0.433
Chile,Urbano,Mejillones,1990,0.405
Chile,Urbano,Mejillones,1994,0.444
Chile,Urbano,Mejillones,2000,0.51097
Chile,Urbano,Mejillones,2003,0.41853
Chile,Urbano,Mejillones,2006,0.37487
Chile,Urbano,Mejillones,2009,0.33838
Chile,Urbano,Melipilla,1990,0.467
Chile,Urbano,Melipilla,1994,0.403
Chile,Urbano,Melipilla,2000,0.522
Chile,Urbano,Melipilla,2003,0.583
Chile,Urbano,Melipilla,2006,0.438
Chile,Urbano,Melipilla,2009,0.447
Chile,Urbano,Molina,1990,--
Chile,Urbano,Molina,1994,0.479
Chile,Urbano,Molina,2000,0.414
Chile,Urbano,Molina,2003,0.414
Chile,Urbano,Molina,2006,0.47
Chile,Urbano,Molina,2009,0.496
Chile,Urbano,Mulch_n,1990,0.37
Chile,Urbano,Mulch_n,1994,0.36
Chile,Urbano,Mulch_n,2000,0.48
Chile,Urbano,Mulch_n,2003,0.455
Chile,Urbano,Mulch_n,2006,--
Chile,Urbano,Mulch_n,2009,0.379
Chile,Urbano,Nacimiento,1990,--
Chile,Urbano,Nacimiento,1994,0.535
Chile,Urbano,Nacimiento,2000,0.462
Chile,Urbano,Nacimiento,2003,0.394
Chile,Urbano,Nacimiento,2006,--
Chile,Urbano,Nacimiento,2009,0.361
Chile,Urbano,Osorno,1990,0.631
Chile,Urbano,Osorno,1994,0.526
Chile,Urbano,Osorno,2000,0.585
Chile,Urbano,Osorno,2003,0.519
Chile,Urbano,Osorno,2006,0.476
Chile,Urbano,Osorno,2009,0.418
Chile,Urbano,Ovalle,1990,0.506
Chile,Urbano,Ovalle,1994,0.427
Chile,Urbano,Ovalle,2000,0.621
Chile,Urbano,Ovalle,2003,0.529
Chile,Urbano,Ovalle,2006,0.404
Chile,Urbano,Ovalle,2009,0.381
Chile,Urbano,Padre Hurtado,1990,--
Chile,Urbano,Padre Hurtado,1994,0.38
Chile,Urbano,Padre Hurtado,2000,0.334
Chile,Urbano,Padre Hurtado,2003,0.501
Chile,Urbano,Padre Hurtado,2006,0.417
Chile,Urbano,Padre Hurtado,2009,0.413
Chile,Urbano,Paine,1990,0.357
Chile,Urbano,Paine,1994,0.43
Chile,Urbano,Paine,2000,0.445
Chile,Urbano,Paine,2003,0.499
Chile,Urbano,Paine,2006,0.468
Chile,Urbano,Paine,2009,0.373
Chile,Urbano,Parral,1990,0.551
Chile,Urbano,Parral,1994,0.52
Chile,Urbano,Parral,2000,0.507
Chile,Urbano,Parral,2003,0.49
Chile,Urbano,Parral,2006,0.359
Chile,Urbano,Parral,2009,0.477
Chile,Urbano,Pe–aflor,1990,0.515
Chile,Urbano,Pe–aflor,1994,0.419
Chile,Urbano,Pe–aflor,2000,0.48
Chile,Urbano,Pe–aflor,2003,0.448
Chile,Urbano,Pe–aflor,2006,0.432
Chile,Urbano,Pe–aflor,2009,0.47
Chile,Urbano,Puerto Montt,1990,0.481
Chile,Urbano,Puerto Montt,1994,0.532
Chile,Urbano,Puerto Montt,2000,0.458
Chile,Urbano,Puerto Montt,2003,0.479
Chile,Urbano,Puerto Montt,2006,0.494
Chile,Urbano,Puerto Montt,2009,0.483
Chile,Urbano,Puerto Varas,1990,0.722
Chile,Urbano,Puerto Varas,1994,0.652
Chile,Urbano,Puerto Varas,2000,0.619
Chile,Urbano,Puerto Varas,2003,0.476
Chile,Urbano,Puerto Varas,2006,0.466
Chile,Urbano,Puerto Varas,2009,0.55
Chile,Urbano,Punta Arenas,1990,0.506
Chile,Urbano,Punta Arenas,1994,0.404
Chile,Urbano,Punta Arenas,2000,0.565
Chile,Urbano,Punta Arenas,2003,0.484
Chile,Urbano,Punta Arenas,2006,0.393
Chile,Urbano,Punta Arenas,2009,0.465
Chile,Urbano,Quillota,1990,--
Chile,Urbano,Quillota,1994,0.461
Chile,Urbano,Quillota,2000,0.53
Chile,Urbano,Quillota,2003,0.446
Chile,Urbano,Quillota,2006,0.44
Chile,Urbano,Quillota,2009,0.43
Chile,Urbano,Rancagua,1990,0.523
Chile,Urbano,Rancagua,1994,0.481
Chile,Urbano,Rancagua,2000,0.456
Chile,Urbano,Rancagua,2003,0.448
Chile,Urbano,Rancagua,2006,0.449
Chile,Urbano,Rancagua,2009,0.474
Chile,Urbano,Rengo,1990,--
Chile,Urbano,Rengo,1994,0.48
Chile,Urbano,Rengo,2000,0.502
Chile,Urbano,Rengo,2003,0.417
Chile,Urbano,Rengo,2006,0.449
Chile,Urbano,Rengo,2009,0.403
Chile,Urbano,San Antonio,1990,0.455
Chile,Urbano,San Antonio,1994,0.439
Chile,Urbano,San Antonio,2000,0.476
Chile,Urbano,San Antonio,2003,0.429
Chile,Urbano,San Antonio,2006,0.441
Chile,Urbano,San Antonio,2009,0.363
Chile,Urbano,San Carlos,1990,--
Chile,Urbano,San Carlos,1994,0.466
Chile,Urbano,San Carlos,2000,0.471
Chile,Urbano,San Carlos,2003,0.525
Chile,Urbano,San Carlos,2006,0.423
Chile,Urbano,San Carlos,2009,0.468
Chile,Urbano,San Felipe,1990,0.553
Chile,Urbano,San Felipe,1994,0.507
Chile,Urbano,San Felipe,2000,0.483
Chile,Urbano,San Felipe,2003,0.454
Chile,Urbano,San Felipe,2006,0.462
Chile,Urbano,San Felipe,2009,0.417
Chile,Urbano,San Fernando,1990,0.4
Chile,Urbano,San Fernando,1994,0.416
Chile,Urbano,San Fernando,2000,0.465
Chile,Urbano,San Fernando,2003,0.468
Chile,Urbano,San Fernando,2006,0.473
Chile,Urbano,San Fernando,2009,0.505
Chile,Urbano,San Javier,1990,--
Chile,Urbano,San Javier,1994,0.427
Chile,Urbano,San Javier,2000,0.508
Chile,Urbano,San Javier,2003,0.437
Chile,Urbano,San Javier,2006,0.374
Chile,Urbano,San Javier,2009,0.411
Chile,Urbano,Santiago,1990,0.542
Chile,Urbano,Santiago,1994,0.561
Chile,Urbano,Santiago,2000,0.573
Chile,Urbano,Santiago,2003,0.57
Chile,Urbano,Santiago,2006,0.541
Chile,Urbano,Santiago,2009,0.558
Chile,Urbano,San Vicente,1990,--
Chile,Urbano,San Vicente,1994,--
Chile,Urbano,San Vicente,2000,0.453
Chile,Urbano,San Vicente,2003,0.424
Chile,Urbano,San Vicente,2006,0.357
Chile,Urbano,San Vicente,2009,0.337
Chile,Urbano,Talagante,1990,0.418
Chile,Urbano,Talagante,1994,0.395
Chile,Urbano,Talagante,2000,0.401
Chile,Urbano,Talagante,2003,0.444
Chile,Urbano,Talagante,2006,0.405
Chile,Urbano,Talagante,2009,0.394
Chile,Urbano,Talca,1990,0.51
Chile,Urbano,,1994,0.464
Chile,Urbano,,2000,0.497
Chile,Urbano,,2003,0.572
Chile,Urbano,,2006,0.398
Chile,Urbano,,2009,0.506
Chile,Urbano,Temuco,1990,0.546
Chile,Urbano,,1994,0.524
Chile,Urbano,,2000,0.596
Chile,Urbano,,2003,0.543
Chile,Urbano,,2006,0.519
Chile,Urbano,,2009,0.558
Chile,Urbano,Tocopilla,1990,0.449
Chile,Urbano,,1994,0.458
Chile,Urbano,,2000,0.429
Chile,Urbano,,2003,0.409
Chile,Urbano,,2006,0.444
Chile,Urbano,,2009,0.439
Chile,Urbano,Tome,1990,0.595
Chile,Urbano,Tome,1994,0.354
Chile,Urbano,Tome,2000,0.424
Chile,Urbano,Tome,2003,0.471
Chile,Urbano,Tome,2006,0.509
Chile,Urbano,Tome,2009,0.499
Chile,Urbano,Valdivia,1990,0.464
Chile,Urbano,Valdivia,1994,0.515
Chile,Urbano,Valdivia,2000,0.515
Chile,Urbano,Valdivia,2003,0.576
Chile,Urbano,Valdivia,2006,0.452
Chile,Urbano,Valdivia,2009,0.457
Chile,Urbano,Vallenar,1990,0.517
Chile,Urbano,Vallenar,1994,0.491
Chile,Urbano,Vallenar,2000,0.428
Chile,Urbano,Vallenar,2003,0.476
Chile,Urbano,Vallenar,2006,0.444
Chile,Urbano,Vallenar,2009,0.452
Chile,Urbano,Valpara’so,1990,0.524
Chile,Urbano,Valpara’so,1994,0.483
Chile,Urbano,Valpara’so,2000,0.471
Chile,Urbano,Valpara’so,2003,0.455
Chile,Urbano,Valpara’so,2006,0.435
Chile,Urbano,Valpara’so,2009,0.501
Chile,Urbano,Victoria,1990,--
Chile,Urbano,Victoria,1994,--
Chile,Urbano,Victoria,2000,0.537
Chile,Urbano,Victoria,2003,0.622
Chile,Urbano,Victoria,2006,0.436
Chile,Urbano,Victoria,2009,0.403
Chile,Urbano,Villarrica,1990,0.422
Chile,Urbano,Villarrica,1994,0.517
Chile,Urbano,Villarrica,2000,0.421
Chile,Urbano,Villarrica,2003,0.504
Chile,Urbano,Villarrica,2006,0.357
Chile,Urbano,Villarrica,2009,0.435
Colombia,Urbano,Brranquilla,1991,0.487
Colombia,Urbano,Brranquilla,1994,--
Colombia,Urbano,Brranquilla,1999,--
Colombia,Urbano,Brranquilla,2002,0.545
Colombia,Urbano,Brranquilla,2005,0.521
Colombia,Urbano,Brranquilla,2010,0.493
Colombia,Urbano,Bogot‡,1991,0.492
Colombia,Urbano,Bogot‡,1994,0.564
Colombia,Urbano,Bogot‡,1999,0.611
Colombia,Urbano,Bogot‡,2002,0.596
Colombia,Urbano,Bogot‡,2005,0.583
Colombia,Urbano,Bogot‡,2010,0.544
Colombia,Urbano,Bucaramanga,1991,0.446
Colombia,Urbano,Bucaramanga,1994,--
Colombia,Urbano,Bucaramanga,1999,--
Colombia,Urbano,Bucaramanga,2002,0.489
Colombia,Urbano,Bucaramanga,2005,0.52
Colombia,Urbano,Bucaramanga,2010,0.46
Colombia,Urbano,Cal’,1991,0.484
Colombia,Urbano,Cal’,1994,--
Colombia,Urbano,Cal’,1999,--
Colombia,Urbano,Cal’,2002,0.5363
Colombia,Urbano,Cal’,2005,0.55344
Colombia,Urbano,Cal’,2010,0.54699
Colombia,Urbano,Catagena,1991,--
Colombia,Urbano,Catagena,1994,--
Colombia,Urbano,Catagena,1999,--
Colombia,Urbano,Catagena,2002,0.47977
Colombia,Urbano,Catagena,2005,0.46806
Colombia,Urbano,Catagena,2010,0.49308
Colombia,Urbano,Cœcuta,1991,0.42892
Colombia,Urbano,Cœcuta,1994,--
Colombia,Urbano,Cœcuta,1999,--
Colombia,Urbano,Cœcuta,2002,0.50004
Colombia,Urbano,Cœcuta,2005,0.47995
Colombia,Urbano,Cœcuta,2010,0.50885
Colombia,Urbano,Ibagu_,1991,0.441
Colombia,Urbano,Ibagu_,1994,--
Colombia,Urbano,Ibagu_,1999,--
Colombia,Urbano,Ibagu_,2002,0.509
Colombia,Urbano,Ibagu_,2005,0.53
Colombia,Urbano,Ibagu_,2010,0.525
Colombia,Urbano,Manizales,1991,0.4786
Colombia,Urbano,Manizales,1994,--
Colombia,Urbano,Manizales,1999,--
Colombia,Urbano,Manizales,2002,0.53
Colombia,Urbano,Manizales,2005,0.529
Colombia,Urbano,Manizales,2010,0.52
Colombia,Urbano,Medell’n,1991,0.469
Colombia,Urbano,Medell’n,1994,--
Colombia,Urbano,Medell’n,1999,--
Colombia,Urbano,Medell’n,2002,0.543
Colombia,Urbano,Medell’n,2005,0.548
Colombia,Urbano,Medell’n,2010,0.564
Colombia,Urbano,Monteria,1991,0.469
Colombia,Urbano,Monteria,1994,--
Colombia,Urbano,Monteria,1999,--
Colombia,Urbano,Monteria,2002,0.542
Colombia,Urbano,Monteria,2005,0.534
Colombia,Urbano,Monteria,2010,0.547
Colombia,Urbano,Pasto,1991,0.464
Colombia,Urbano,Pasto,1994,--
Colombia,Urbano,Pasto,1999,--
Colombia,Urbano,Pasto,2002,0.538
Colombia,Urbano,Pasto,2005,0.539
Colombia,Urbano,Pasto,2010,0.534
Colombia,Urbano,Pereira,1991,0.458
Colombia,Urbano,Pereira,1994,--
Colombia,Urbano,Pereira,1999,--
Colombia,Urbano,Pereira,2002,0.517
Colombia,Urbano,Pereira,2005,0.5
Colombia,Urbano,Pereira,2010,0.479
Colombia,Urbano,Villavicencio,1991,--
Colombia,Urbano,Villavicencio,1994,--
Colombia,Urbano,Villavicencio,1999,--
Colombia,Urbano,Villavicencio,2002,0.507
Colombia,Urbano,Villavicencio,2005,0.512
Colombia,Urbano,Villavicencio,2010,0.496
Costa Rica,Urbano,Alajuela,1990,--
Costa Rica,Urbano,Alajuela,1994,--
Costa Rica,Urbano,Alajuela,1999,--
Costa Rica,Urbano,Alajuela,2002,--
Costa Rica,Urbano,Alajuela,2005,0.441
Costa Rica,Urbano,Alajuela,2010,0.487
Costa Rica,Urbano,Cartago,1990,--
Costa Rica,Urbano,Cartago,1994,--
Costa Rica,Urbano,Cartago,1999,--
Costa Rica,Urbano,Cartago,2002,--
Costa Rica,Urbano,Cartago,2005,0.449
Costa Rica,Urbano,Cartago,2010,0.473
Costa Rica,Urbano,Heredia,1990,--
Costa Rica,Urbano,Heredia,1994,--
Costa Rica,Urbano,Heredia,1999,--
Costa Rica,Urbano,Heredia,2002,--
Costa Rica,Urbano,Heredia,2005,0.449
Costa Rica,Urbano,Heredia,2010,0.489
Costa Rica,Urbano,Limon,1990,--
Costa Rica,Urbano,Limon,1994,--
Costa Rica,Urbano,Limon,1999,--
Costa Rica,Urbano,Limon,2002,--
Costa Rica,Urbano,Limon,2005,0.457
Costa Rica,Urbano,Limon,2010,0.534
Costa Rica,Urbano,San Jos_,1990,0.421
Costa Rica,Urbano,San Jos_,1994,0.44
Costa Rica,Urbano,San Jos_,1999,0.47
Costa Rica,Urbano,San Jos_,2002,0.485
Costa Rica,Urbano,San Jos_,2005,0.497
Costa Rica,Urbano,San Jos_,2010,0.472
Repœblica Dominicana,Urbano,Bonao,1990,--
Repœblica Dominicana,Urbano,Bonao,1994,--
Repœblica Dominicana,Urbano,Bonao,1997,--
Repœblica Dominicana,Urbano,Bonao,2002,--
Repœblica Dominicana,Urbano,Bonao,2005,0.487
Repœblica Dominicana,Urbano,Bonao,2010,0.522
Repœblica Dominicana,Urbano,Higuey,1990,--
Repœblica Dominicana,Urbano,Higuey,1994,--
Repœblica Dominicana,Urbano,Higuey,1997,--
Repœblica Dominicana,Urbano,Higuey,2002,--
Repœblica Dominicana,Urbano,Higuey,2005,0.442
Repœblica Dominicana,Urbano,Higuey,2010,0.593
Repœblica Dominicana,Urbano,La Romana,1990,--
Repœblica Dominicana,Urbano,La Romana,1994,--
Repœblica Dominicana,Urbano,La Romana,1997,--
Repœblica Dominicana,Urbano,La Romana,2002,--
Repœblica Dominicana,Urbano,La Romana,2005,0.506
Repœblica Dominicana,Urbano,La Romana,2010,0.618
Repœblica Dominicana,Urbano,San Cristobal,1990,--
Repœblica Dominicana,Urbano,San Cristobal,1994,--
Repœblica Dominicana,Urbano,San Cristobal,1997,--
Repœblica Dominicana,Urbano,San Cristobal,2002,--
Repœblica Dominicana,Urbano,San Cristobal,2005,0.511
Repœblica Dominicana,Urbano,San Cristobal,2010,0.427
Repœblica Dominicana,Urbano,San Felipe de Puerto Plata,1990,--
Repœblica Dominicana,Urbano,San Felipe de Puerto Plata,1994,--
Repœblica Dominicana,Urbano,San Felipe de Puerto Plata,1997,--
Repœblica Dominicana,Urbano,San Felipe de Puerto Plata,2002,--
Repœblica Dominicana,Urbano,San Felipe de Puerto Plata,2005,0.526
Repœblica Dominicana,Urbano,San Felipe de Puerto Plata,2010,0.471
Repœblica Dominicana,Urbano,San Francisco de Macoris,1990,--
Repœblica Dominicana,Urbano,San Francisco de Macoris,1994,--
Repœblica Dominicana,Urbano,San Francisco de Macoris,1997,--
Repœblica Dominicana,Urbano,San Francisco de Macoris,2002,--
Repœblica Dominicana,Urbano,San Francisco de Macoris,2005,0.471
Repœblica Dominicana,Urbano,San Francisco de Macoris,2010,0.499
Repœblica Dominicana,Urbano,San Pedro de Marcoris,1990,--
Repœblica Dominicana,Urbano,San Pedro de Marcoris,1994,--
Repœblica Dominicana,Urbano,San Pedro de Marcoris,1997,--
Repœblica Dominicana,Urbano,San Pedro de Marcoris,2002,--
Repœblica Dominicana,Urbano,San Pedro de Marcoris,2005,0.586
Repœblica Dominicana,Urbano,San Pedro de Marcoris,2010,0.468
Repœblica Dominicana,Urbano,Santa Cruz de Barahona,1990,--
Repœblica Dominicana,Urbano,Santa Cruz de Barahona,1994,--
Repœblica Dominicana,Urbano,Santa Cruz de Barahona,1997,--
Repœblica Dominicana,Urbano,Santa Cruz de Barahona,2002,--
Repœblica Dominicana,Urbano,Santa Cruz de Barahona,2005,0.446
Repœblica Dominicana,Urbano,Santa Cruz de Barahona,2010,0.552
Repœblica Dominicana,Urbano,Santiago de los Caballeros,1990,--
Repœblica Dominicana,Urbano,Santiago de los Caballeros,1994,--
Repœblica Dominicana,Urbano,Santiago de los Caballeros,1997,--
Repœblica Dominicana,Urbano,Santiago de los Caballeros,2002,--
Repœblica Dominicana,Urbano,Santiago de los Caballeros,2005,0.55
Repœblica Dominicana,Urbano,Santiago de los Caballeros,2010,0.588
Repœblica Dominicana,Urbano,Santo Domingo,1990,--
Repœblica Dominicana,Urbano,Santo Domingo,1994,--
Repœblica Dominicana,Urbano,Santo Domingo,1997,--
Repœblica Dominicana,Urbano,Santo Domingo,2002,--
Repœblica Dominicana,Urbano,Santo Domingo,2005,0.612
Repœblica Dominicana,Urbano,Santo Domingo,2010,0.579
Ecuador,Urbano,Ambato,1990,--
Ecuador,Urbano,Ambato,1994,--
Ecuador,Urbano,Ambato,1999,--
Ecuador,Urbano,Ambato,2002,0.419
Ecuador,Urbano,Ambato,2005,0.495
Ecuador,Urbano,Ambato,2010,0.44
Ecuador,Urbano,Azogues,1990,--
Ecuador,Urbano,Azogues,1994,--
Ecuador,Urbano,Azogues,1999,--
Ecuador,Urbano,Azogues,2002,--
Ecuador,Urbano,Azogues,2005,0.514
Ecuador,Urbano,Azogues,2010,0.553
Ecuador,Urbano,Babahoyo,1990,--
Ecuador,Urbano,Babahoyo,1994,--
Ecuador,Urbano,Babahoyo,1999,--
Ecuador,Urbano,Babahoyo,2002,--
Ecuador,Urbano,Babahoyo,2005,0.455
Ecuador,Urbano,Babahoyo,2010,0.589
Ecuador,Urbano,Cuenca,1990,--
Ecuador,Urbano,Cuenca,1994,--
Ecuador,Urbano,Cuenca,1999,0.493
Ecuador,Urbano,Cuenca,2002,0.535
Ecuador,Urbano,Cuenca,2005,0.447
Ecuador,Urbano,Cuenca,2010,0.388
Ecuador,Urbano,Eloy Alfaro (Dur‡n),1990,--
Ecuador,Urbano,Eloy Alfaro (Dur‡n),1994,--
Ecuador,Urbano,Eloy Alfaro (Dur‡n),1999,--
Ecuador,Urbano,Eloy Alfaro (Dur‡n),2002,0.369
Ecuador,Urbano,Eloy Alfaro (Dur‡n),2005,0.435
Ecuador,Urbano,Eloy Alfaro (Dur‡n),2010,0.46
Ecuador,Urbano,Esmeraldas,1990,--
Ecuador,Urbano,Esmeraldas,1994,--
Ecuador,Urbano,Esmeraldas,1997,--
Ecuador,Urbano,Esmeraldas,2002,--
Ecuador,Urbano,Esmeraldas,2005,0.544
Ecuador,Urbano,Esmeraldas,2010,0.517
Ecuador,Urbano,Guaranda,1990,--
Ecuador,Urbano,,1994,--
Ecuador,Urbano,,1999,--
Ecuador,Urbano,,2002,--
Ecuador,Urbano,,2005,0.483
Ecuador,Urbano,,2010,0.459
Ecuador,Urbano,Guayaquil,1990,--
Ecuador,Urbano,,1994,--
Ecuador,Urbano,,1999,0.514
Ecuador,Urbano,,2002,0.524
Ecuador,Urbano,,2005,0.495
Ecuador,Urbano,,2010,0.414
Ecuador,Urbano,Ibarra,1990,--
Ecuador,Urbano,,1994,--
Ecuador,Urbano,,1999,--
Ecuador,Urbano,,2002,--
Ecuador,Urbano,,2005,0.479
Ecuador,Urbano,,2010,0.435
Ecuador,Urbano,La Mana,1990,--
Ecuador,Urbano,,1994,--
Ecuador,Urbano,,1999,--
Ecuador,Urbano,,2002,--
Ecuador,Urbano,,2005,0.453
Ecuador,Urbano,,2010,0.371
Ecuador,Urbano,La Troncal,1990,--
Ecuador,Urbano,La Troncal,1994,--
Ecuador,Urbano,La Troncal,1999,--
Ecuador,Urbano,La Troncal,2002,--
Ecuador,Urbano,La Troncal,2005,0.431
Ecuador,Urbano,La Troncal,2010,0.397
Ecuador,Urbano,Latacunga,1990,--
Ecuador,Urbano,Latacunga,1994,--
Ecuador,Urbano,Latacunga,1999,--
Ecuador,Urbano,Latacunga,2002,--
Ecuador,Urbano,Latacunga,2005,0.522
Ecuador,Urbano,Latacunga,2010,0.451
Ecuador,Urbano,Loja,1990,--
Ecuador,Urbano,Loja,1994,--
Ecuador,Urbano,Loja,1999,--
Ecuador,Urbano,Loja,2002,0.517
Ecuador,Urbano,Loja,2005,0.448
Ecuador,Urbano,Loja,2010,0.431
Ecuador,Urbano,Machala,1990,--
Ecuador,Urbano,Machala,1994,--
Ecuador,Urbano,Machala,1999,0.413
Ecuador,Urbano,Machala,2002,0.477
Ecuador,Urbano,Machala,2005,0.447
Ecuador,Urbano,Machala,2010,0.447
Ecuador,Urbano,Manta,1990,--
Ecuador,Urbano,Manta,1994,--
Ecuador,Urbano,Manta,1999,--
Ecuador,Urbano,Manta,2002,0.45
Ecuador,Urbano,Manta,2005,0.442
Ecuador,Urbano,Manta,2010,0.43
Ecuador,Urbano,Nueva Loja,1990,--
Ecuador,Urbano,Nueva Loja,1994,--
Ecuador,Urbano,Nueva Loja,1999,--
Ecuador,Urbano,Nueva Loja,2002,0.498
Ecuador,Urbano,Nueva Loja,2005,0.462
Ecuador,Urbano,Nueva Loja,2010,0.45
Ecuador,Urbano,Nueva Loja,2010,
Ecuador,Urbano,Portoviejo,1990,--
Ecuador,Urbano,Portoviejo,1994,--
Ecuador,Urbano,Portoviejo,1999,--
Ecuador,Urbano,Portoviejo,2002,0.468
Ecuador,Urbano,Portoviejo,2005,0.503
Ecuador,Urbano,Portoviejo,2010,0.453
Ecuador,Urbano,Portoviejo,2010,
Ecuador,Urbano,Quevedo,1990,--
